index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
0,3.0,4.0,46.0,0.0,2.0,121.0,1.0,16.0,3.0,6.7142857142857135,32.0,0.42857142857142855,0.42857142857142855,95.28571428571428,148.14285714285714
1,5.0,6.0,60.0,0.0,1.0,71.0,1.0,298.0,2.875,11.75,52.875,0.375,1.0,82.25,226.375
2,1.0,10.0,51.0,2.0,1.0,138.0,1.0,310.0,2.4,15.4,38.7,0.9,0.3,106.2,146.2
3,5.0,11.0,34.0,2.0,0.0,147.0,2.0,270.0,5.75,13.75,37.75,1.375,0.375,143.625,183.0
4,5.0,4.0,27.0,0.0,0.0,138.0,14.0,97.0,4.625,8.513074470401198,35.0,0.625,0.25,136.375,196.125
5,0.0,7.719370860927152,41.0,2.0,0.0,139.0,160.36049058256683,25.0,1.0,6.869329624904082,31.33333333333333,1.3333333333333333,0.1111111111111111,97.77777777777777,121.11111111111113
6,0.0,1.0,24.0,2.0,0.0,50.0,160.36049058256683,5.0,1.1111111111111112,4.974494422729429,30.222222222222214,1.3333333333333333,0.2222222222222222,65.8888888888889,132.25785041622476
7,1.0,7.719370860927152,18.0,0.0,0.0,38.0,160.36049058256683,603.3206537460227,1.6666666666666667,3.7308708170470735,28.0,0.6666666666666666,0.3333333333333333,44.33333333333334,12.666666666666664
8,5.0,7.719370860927152,13.0,0.0,0.0,34.0,160.36049058256683,16.0,3.4,6.375496688741722,14.6,0.0,0.0,39.2,62.2
9,2.0,7.719370860927152,14.0,0.0,0.0,56.0,160.36049058256683,2.0,2.5555555555555562,6.553564356324244,11.444444444444445,0.0,0.0,45.111111111111114,109.03562819400251
10,7.0,5.0,54.0,44.0,1.0,147.0,33.670360110803315,9.0,10.142857142857142,13.636363636363635,48.57142857142857,29.0,1.5714285714285714,148.42857142857142,183.0934065934066
11,5.0,13.0,33.0,1.0,0.0,111.0,3.0,177.0,4.153846153846153,19.923076923076927,28.92307692307693,0.7692307692307693,0.6153846153846154,96.84615384615385,114.33235798046327
12,0.0,3.9464831804281344,28.0,0.0,0.0,117.0,33.670360110803315,224.0,2.0,5.383664459161148,26.66666666666667,0.4,0.4666666666666667,87.06666666666666,111.37608716613636
13,6.0,1.0,24.0,7.0,0.0,145.0,4.1951219512195115,61.0,11.0,23.25,115.75,75.75,2.25,165.5,809.5
14,7.0,3.4545454545454546,18.0,0.0,1.0,158.0,1.0,133.65384615384616,9.25,12.25,48.875,22.0,1.375,149.125,150.79008171825285
15,21.0,2.0,153.0,138.0,0.0,15.0,2.0,2479.0,22.9,12.4,148.9,132.4,1.0,132.9,612.0525540964068
